,Date,Symbol,High,Adj_Close,Volume,Open,Close,Low
295,2015-05-26,WFT.TO,70.029999,68.779213,87200,69.849998,69.269997,69.080002
296,2015-05-25,WFT.TO,70.349998,69.613265,25100,69.760002,70.110001,69.760002
297,2015-05-22,WFT.TO,70.75,69.643052,148600,69.339996,70.139999,68.410004
298,2015-05-21,WFT.TO,70.150002,69.067159,207300,69.400002,69.559998,68.489998
299,2015-05-20,WFT.TO,69.550003,68.908297,214600,68.50,69.400002,68.059998
300,2015-05-19,WFT.TO,68.690002,67.835947,508900,67.00,68.32,66.639999
301,2015-05-18,WFT.TO,66.00,65.532384,000,66.00,66.00,66.00
302,2015-05-15,WFT.TO,66.410004,65.532384,108900,65.75,66.00,65.470001
303,2015-05-14,WFT.TO,65.980003,65.174934,187700,65.00,65.639999,64.559998
304,2015-05-13,WFT.TO,65.00,64.311096,100400,64.470001,64.769997,63.880001
305,2015-05-12,WFT.TO,65.389999,64.18202,148300,64.779999,64.639999,64.190002
306,2015-05-11,WFT.TO,65.300003,64.757912,319600,64.139999,65.220001,64.139999
307,2015-05-08,WFT.TO,64.150002,63.576341,145800,64.120003,64.029999,63.139999
308,2015-05-07,WFT.TO,64.300003,63.447265,123300,64.25,63.900002,62.970001
309,2015-05-06,WFT.TO,64.389999,63.596203,166800,63.919998,64.050003,63.279999
310,2015-05-05,WFT.TO,65.00,63.26854,313700,63.610001,63.720001,63.080002
311,2015-05-04,WFT.TO,64.25,63.49691,197100,63.389999,63.950001,63.00
312,2015-05-01,WFT.TO,63.279999,62.801868,230400,62.060001,63.25,61.009998
313,2015-04-30,WFT.TO,62.959999,61.64016,183300,62.330002,62.080002,61.450001
314,2015-04-29,WFT.TO,63.00,62.245835,282000,62.400002,62.689999,61.389999
315,2015-04-28,WFT.TO,63.77,62.335197,244200,63.77,62.779999,62.009998
316,2015-04-27,WFT.TO,64.650002,63.318185,226400,64.50,63.77,63.279999
317,2015-04-24,WFT.TO,65.870003,64.191951,720200,64.169998,64.650002,63.290001
318,2015-04-23,WFT.TO,61.150002,60.150787,185100,60.330002,60.580002,60.00
319,2015-04-22,WFT.TO,60.509998,59.614612,389400,59.630001,60.040001,59.619999
320,2015-04-21,WFT.TO,60.869999,59.306807,367100,60.700001,59.73,59.220001
